fighter,stance,win_loss_ratio,average_rounds,average_time_seconds,most_common_method,height_inches,weight_lbs,height_meters,weight_kg
Bazigit Atajev,Orthodox,0.0,2.0,299.0,KO/TKO Knee,73.0,230.0,1.85,104.33
Rich Attonito,Orthodox,1.5,2.6,247.0,U-DEC,70.0,170.0,1.78,77.11
Olivier Aubin-Mercier,Southpaw,1.4,2.6666666666666665,231.0,U-DEC,69.0,155.0,1.75,70.31
Pat Audinwood,Orthodox,0.0,2.0,263.0,SUB Guillotine Choke,72.0,155.0,1.83,70.31
Jose Augusto,,,,,None,75.0,251.0,1.91,113.85
Marcus Aurelio,Orthodox,0.625,2.076923076923077,273.0,U-DEC,70.0,155.0,1.78,70.31
David Avellan,Orthodox,0.0,1.0,18.0,KO/TKO Punch,69.0,185.0,1.75,83.91
Blas Avena,Orthodox,1.0,1.5,102.0,KO/TKO Punches,72.0,170.0,1.83,77.11
Levi Avera,,0.0,3.0,300.0,U-DEC,73.0,170.0,1.85,77.11
Anthony Avila,,,3.0,300.0,U-DEC,67.0,145.0,1.7,65.77
Chris Avila,Orthodox,0.0,3.0,300.0,U-DEC,70.0,145.0,1.78,65.77
Julia Avila,Orthodox,1.5,2.6,191.0,SUB Rear Naked Choke,67.0,135.0,1.7,61.23
Saad Awad,,0.0,2.0,165.0,SUB Armbar,71.0,155.0,1.8,70.31
Javy Ayala,,,,,None,73.0,265.0,1.85,120.2
Jessin Ayari,Orthodox,0.3333333333333333,2.5,243.0,U-DEC,72.0,155.0,1.83,70.31
Abu Azaitar,Orthodox,0.5,3.0,298.0,U-DEC,69.0,185.0,1.75,83.91
Ottman Azaitar,Switch,1.0,1.0,175.0,KO/TKO Punches,68.0,155.0,1.73,70.31
Luiz Azeredo,Orthodox,0.75,1.5714285714285714,309.0,U-DEC,69.0,154.0,1.75,69.85
Luciano Azevedo,Orthodox,0.0,1.0,395.0,KO/TKO,75.0,161.0,1.91,73.03
Hunter Azure,Orthodox,1.5,2.8,284.0,U-DEC,68.0,145.0,1.73,65.77
Niklas Backstrom,Orthodox,0.5,1.6666666666666667,211.0,SUB Rear Naked Choke,73.0,145.0,1.85,65.77
Seth Baczynski,Orthodox,0.8333333333333334,2.090909090909091,221.0,U-DEC,75.0,170.0,1.91,77.11
Ryan Bader,Orthodox,3.0,2.35,209.0,U-DEC,74.0,205.0,1.88,92.99
Izabela Badurek,Orthodox,0.0,2.0,214.0,SUB Guillotine Choke,65.0,115.0,1.65,52.16
Miguel Baeza,Orthodox,1.0,2.375,209.0,U-DEC,74.0,170.0,1.88,77.11
Ali Bagautinov,Orthodox,1.3333333333333333,3.2857142857142856,286.0,U-DEC,64.0,125.0,1.63,56.7
Mehdi Baghdad,Orthodox,0.0,2.0,285.0,S-DEC,73.0,155.0,1.85,70.31
Melsik Baghdasaryan,Southpaw,4.0,2.6,226.0,U-DEC,69.0,145.0,1.75,65.77
Siyar Bahadurzada,Orthodox,1.0,2.5,230.0,U-DEC,71.0,170.0,1.8,77.11
Ignacio Bahamondes,Orthodox,2.5,2.5714285714285716,237.0,KO/TKO Kick,75.0,155.0,1.91,70.31
Shamar Bailey,Southpaw,0.6666666666666666,2.6,298.0,U-DEC,69.0,155.0,1.75,70.31
Jordan Bailey,,,,,None,69.0,145.0,1.75,65.77
Scott Baker,,0.0,1.0,401.0,SUB Triangle Choke,72.0,210.0,1.83,95.25
Bryan Baker,Orthodox,2.0,2.3333333333333335,285.0,S-DEC,75.0,185.0,1.91,83.91
Jin Bala,,,,,None,69.0,155.0,1.75,70.31
Oluwale Bamgbose,Switch,0.25,1.8,142.0,KO/TKO Punches,71.0,185.0,1.8,83.91
Stephen Banaszak,,,,,None,72.0,145.0,1.83,65.77
Marcin Bandel,Orthodox,0.0,1.5,78.0,KO/TKO Punches,70.0,155.0,1.78,70.31
Humberto Bandenay,Southpaw,0.3333333333333333,2.0,166.0,U-DEC,71.0,145.0,1.8,65.77
